Old Sprite,New Sprite,Old File,New File,Category,Notes
GFX_Generic_National_Focus_Trading_1,GFX_generic_focus_trading_merchant_shipping,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_1.png,gfx/interface/goals/generic/trading/generic_focus_trading_merchant_shipping.png,trading,
GFX_Generic_National_Focus_Trading_5,GFX_generic_focus_trading_oil_barrels,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_5.png,gfx/interface/goals/generic/trading/generic_focus_trading_oil_barrels.png,trading,
GFX_Generic_National_Focus_Trading_9,GFX_generic_focus_trading_oil_drum,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_9.png,gfx/interface/goals/generic/trading/generic_focus_trading_oil_drum.png,trading,
GFX_Generic_National_Focus_Trading_6,GFX_generic_focus_trading_rubber,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_6.png,gfx/interface/goals/generic/trading/generic_focus_trading_rubber.png,trading,
GFX_Generic_National_Focus_Trading_4,GFX_generic_focus_trading_trade_agreement,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_4.png,gfx/interface/goals/generic/trading/generic_focus_trading_trade_agreement.png,trading,
GFX_Generic_National_Focus_Trading_13,GFX_generic_focus_trading_yen_trade,gfx/interface/goals/generic/trading/Generic_National_Focus_Trading_13.png,gfx/interface/goals/generic/trading/generic_focus_trading_yen_trade.png,trading,
GFX_Generic_National_Focus_USA_13,GFX_generic_focus_usa_american_aid_crates,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_13.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_aid_crates.png,usa,
GFX_Generic_National_Focus_USA_12,GFX_generic_focus_usa_american_automobile,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_12.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_automobile.png,usa,
GFX_Generic_National_Focus_USA_2,GFX_generic_focus_usa_american_broadcast,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_2.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_broadcast.png,usa,
GFX_Generic_National_Focus_USA_6,GFX_generic_focus_usa_american_hotline,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_6.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_hotline.png,usa,
GFX_Generic_National_Focus_USA_24,GFX_generic_focus_usa_american_justice,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_24.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_justice.png,usa,
GFX_Generic_National_Focus_USA_15,GFX_generic_focus_usa_american_money,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_15.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_money.png,usa,
GFX_Generic_National_Focus_USA_5,GFX_generic_focus_usa_american_soldiers,gfx/interface/goals/generic/usa/Generic_USA.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_soldiers.png,usa,
GFX_Generic_National_Focus_USA_4,GFX_generic_focus_usa_anti_american_skull,gfx/interface/goals/generic/usa/Generic_Anti_America.png,gfx/interface/goals/generic/usa/generic_focus_usa_anti_american_skull.png,usa,
GFX_Generic_National_Focus_USA_22,GFX_generic_focus_usa_bill_passed,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_22.png,gfx/interface/goals/generic/usa/generic_focus_usa_bill_passed.png,usa,
GFX_Generic_National_Focus_USA_23,GFX_generic_focus_usa_bill_rejected,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_23.png,gfx/interface/goals/generic/usa/generic_focus_usa_bill_rejected.png,usa,
GFX_Generic_National_Focus_USA_7,GFX_generic_focus_usa_broadcast_studio,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_7.png,gfx/interface/goals/generic/usa/generic_focus_usa_broadcast_studio.png,usa,
GFX_Generic_National_Focus_USA_18,GFX_generic_focus_usa_capitol_accord,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_18.png,gfx/interface/goals/generic/usa/generic_focus_usa_capitol_accord.png,usa,
GFX_Generic_National_Focus_USA_19,GFX_generic_focus_usa_capitol_papers,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_19.png,gfx/interface/goals/generic/usa/generic_focus_usa_capitol_papers.png,usa,
GFX_icon_generic_cia,GFX_generic_focus_usa_cia_seal,gfx/interface/goals/generic/usa/icon_generic_cia.png,gfx/interface/goals/generic/usa/generic_focus_usa_cia_seal.png,usa,
GFX_Generic_National_Focus_USA_14,GFX_generic_focus_usa_keep_it_quiet,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_14.png,gfx/interface/goals/generic/usa/generic_focus_usa_keep_it_quiet.png,usa,
GFX_Generic_National_Focus_USA_10,GFX_generic_focus_usa_nixon,gfx/interface/goals/generic/usa/Nixon.png,gfx/interface/goals/generic/usa/generic_focus_usa_nixon.png,usa,
GFX_Generic_National_Focus_USA_20,GFX_generic_focus_usa_pacific_fleet,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_20.png,gfx/interface/goals/generic/usa/generic_focus_usa_pacific_fleet.png,usa,
GFX_Generic_National_Focus_USA_1,GFX_generic_focus_usa_presidential_broadcast,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_1.png,gfx/interface/goals/generic/usa/generic_focus_usa_presidential_broadcast.png,usa,
GFX_Generic_National_Focus_USA_21,GFX_generic_focus_usa_red_scare_podium,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_21.png,gfx/interface/goals/generic/usa/generic_focus_usa_red_scare_podium.png,usa,
GFX_Generic_National_Focus_USA_9,GFX_generic_focus_usa_the_administration,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_9.png,gfx/interface/goals/generic/usa/generic_focus_usa_the_administration.png,usa,
GFX_Generic_National_Focus_USA_17,GFX_generic_focus_usa_the_dollar,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_17.png,gfx/interface/goals/generic/usa/generic_focus_usa_the_dollar.png,usa,
GFX_icon_generic_white_house,GFX_generic_focus_usa_the_white_house,gfx/interface/goals/generic/usa/icon_generic_white_house.png,gfx/interface/goals/generic/usa/generic_focus_usa_the_white_house.png,usa,
GFX_Generic_National_Focus_USA_3,GFX_generic_focus_usa_uncle_sam,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_3.png,gfx/interface/goals/generic/usa/generic_focus_usa_uncle_sam.png,usa,
GFX_Generic_National_Focus_USA_16,GFX_generic_focus_usa_uncle_sam_pays,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_16.png,gfx/interface/goals/generic/usa/generic_focus_usa_uncle_sam_pays.png,usa,
GFX_Generic_National_Focus_USA_11,GFX_generic_focus_usa_rejecting_uncle_sam,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_11.png,gfx/interface/goals/generic/usa/generic_focus_usa_rejecting_uncle_sam.png,usa,corrected from usa_uncle_sam_stamp
GFX_Generic_National_Focus_USA_8,GFX_generic_focus_usa_washington_line,gfx/interface/goals/generic/usa/Generic_National_Focus_USA_8.png,gfx/interface/goals/generic/usa/generic_focus_usa_washington_line.png,usa,
,,gfx/interface/goals/generic/usa/icon_114.png,gfx/interface/goals/generic/usa/generic_focus_usa_american_funding.png,usa,art only - sprite declared in another registry
,,gfx/interface/goals/generic/usa/usa_fp_generic_congress_approve.png,gfx/interface/goals/generic/usa/generic_focus_usa_congress_approves.png,usa,art only - sprite declared in another registry
,,gfx/interface/goals/generic/usa/Biden_Presidency.png,gfx/interface/goals/generic/usa/generic_focus_usa_presidential_portrait.png,usa,art only - sprite declared in another registry
,,gfx/interface/goals/generic/usa/usa_fp_generic_weapon_increase.png,gfx/interface/goals/generic/usa/generic_focus_usa_weapons_buildup.png,usa,art only - sprite declared in another registry
GFX_Generic_National_Focus_USSR_11,GFX_generic_focus_ussr_bread_and_emblem,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_11.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_bread_and_emblem.png,ussr,
GFX_icon_generic_lenin,GFX_generic_focus_ussr_lenin,gfx/interface/goals/generic/ussr/icon_generic_lenin.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_lenin.png,ussr,
GFX_Generic_National_Focus_USSR_1,GFX_generic_focus_ussr_moscow_handshake,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_1.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_moscow_handshake.png,ussr,
GFX_Generic_National_Focus_USSR_15,GFX_generic_focus_ussr_moscow_hotline,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_15.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_moscow_hotline.png,ussr,
GFX_Generic_National_Focus_USSR_14,GFX_generic_focus_ussr_moscow_line,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_14.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_moscow_line.png,ussr,
